Material,Occurences
metal: silver,264
metal: copper alloy,1004
eco-sample,34
,0
tile: 17th century,208
faience: Holland,4280
whiteware,5095
stoneware: Frechen,1327
stoneware,1818
glass,1860
porcelain: Germany,85
ball clay,9599
redware,21867
industrial ware: white,8483
metal: nickle,384
tile: 18th century,152
maiolica,1926
"whiteware, glazed: yellow",1
"whiteware, glazed: green",2
industrial ware: rewdware,14
porcelain: Japan,208
stoneware: Raeren-Aachen-Langerwehe,245
redware: Frankfurt tradition,486
whiteware: 19th century,1
stoneware: Westerwald,1756
porcelain: China,1009
industrial ware: creamware,234
medium large-large mammal,10459
shell,690
plastic,287
leather,4126
metal: tin,1073
metal: copper-nickle,108
metal: iron,9057
metal: aluminium-bronze,26
metal: iron-copper,113
metal: bronze,916
metal: brass,6485
curved tile,559
faience: French,257
"redware, slip",816
redware: Iberian,279
redware: western Germany,52
"redware, slip: Lower Rhine region",822
porcelain: Europe,1364
bird,1204
"redware, slip: slip-cup decoration",5
stoneware: Raeren,1676
glass: colourless,1841
rubber,48
metal: stainless steel,51
nut,138
flint,118
stoneware: Langerwehe,748
wood,69
brick,136
greyware: hand-built,113
industrial ware: stoneware,274
redware: unglazed,2681
fish,341
human,29
glass: forest-glass,307
cork oak,94
seed/kernel,217
flag,539
porcelain: WanLi,207
stoneware: Duingen,118
whiteware: Frankfurt tradition,563
glass: opaline,140
greyware: wheel-thrown,426
industrial ware: blackware,26
antler,117
limestone,96
flat tile,60
stoneware: mineral water P-jug,643
"redware, slip: Werra",156
whiteware: Germany,588
small mammal,591
sandstone,52
basalt,33
"redware, slip: sgraffito",394
metal: steel,46
marble,43
whiteware: Hafner,419
industrial ware: pearlware,68
tile: 20th century,53
faience: Italian,204
whiteware: Weser region,345
waster,57
oak,255
pine,131
metal,173
metal: zinc,163
tile: 19th century,6
industrial ware: coloured,72
stoneware: Vreden-Stadtlohn,94
stoneware: Cologne/Frechen,293
stoneware: Raeren/Aachen,124
metal: lead,2772
soapstone,1
rope,146
gold lustre,55
stoneware: Cologne,471
stoneware: Aachen,326
industrial ware: scratchware,17
ivory,88
spruce,131
field maple,62
metal: aluminium,147
phyllite,59
stone,120
wool,572
faience: Portuguese,32
redware: French,3
stoneware: Siegburg,1423
porcelain: KhangXi,732
faience,17
glass: lead-glass,117
ball clay (sculpture),71
synthetic,35
slate,295
box,255
bakelite,18
granite,15
sewerpipe,14
greyware: jydepot,46
porcelain: capucin,145
quartzite/phyllite,1
flag: slip decorated,52
whiteware: Pingsdorf,30
greyware: bluegrey,47
prehistoric,36
"medieval, early medieval",64
elderberry,6
red ware (sculpture),55
redware: slip applied by brush,65
cotton,35
beech,50
poplar,13
textile,102
palm,32
oven brick,1
maiolica: Spanish,31
Roman,17
"Roman, indigenous",14
proto-stoneware,57
metal: nickle-brass,6
whiteware: Palissy,1
whiteware: Andenne,48
willow,65
ash,78
ebony,25
metal: lead alloy,757
rounded Meuse flint,9
whiteware: Saintonge,7
spindle tree,5
greyware: finger stroke,18
guaiacum,19
whiteware: Beauvais,17
crucible,74
coal,86
greyware: brushstroke,21
taxus,23
metal: composite,78
metal: zamac,10
hair,19
stoneware: Asia,84
birch,20
metal: copper,1124
alder,3
clay ironstone,1
barberry,4
chestnut,4
elm,12
"exotic, not defined",0
floral,16
black alder,19
hornbeam,3
"Maloideae (apple, pear)",10
metal: sheet metal,453
fir,37
amber,4
turtle,3
bone,25
rootwood,5
hop hornbeam,3
juniper,5
limesandstone,8
jet,6
Lede limestone,3
quartzite,5
porcelain: famille rose,153
faunal,8
Namur limestone,15
kiln waste,5
tephrite,7
redware: Meuse region,7
greyware: Paffrath,25
industrial ware: red,103
horn,2
metal: brass plate,19
metal: gold,16
magnetite,2
redware: slip-cup decoration 17th/18th century,3
tile: 16th century,7
redware: Italian,19
Avesnes limestone,5
felt,26
common hazel,1
faience: English,4
ebonite,1
metal: copper-nickle-aluminium,3
whiteware: Rhineland,1
metal: copper-zinc,11
"prehistoric, Late Bronze age",9
blackthorn,6
metal: billon,15
bamboo,5
"prehistoric, Middle Iron age",2
"medieval, late medieval",1
"redware, glazed: green",1
whiteware: 17th/18th century,1
baleen,3
near-stoneware,42
Mayen,2
dogwood,2
metal: copper-nickle-zinc,5
metal: copper-aluminium,1
metal: iron-copper-nickle,6
gneiss,9
quartzitic sandstone,12
silk,61
twigs,3
tuff,2
"redware, glazed: yellow",1
whiteware: Limburg,2
undefined,51
sweet cherry,1
linen,4
amphibolite,3
siltstone,4
basalt lava,2
metal: nickle-bronze,3
concrete,1
porcelain,1
metal: iron-nickle,4
charcoal,42
metal: aluminium-brass,2
"prehistoric, Bell Beaker culture",7
schist,4
"prehistoric, Middle Bronze age",1
gabbro,2
tile,1915
diabase or dolerite,1
rose,1
cattle,63
porcelain: famille verte,53
pig,9
sheep,3
stoneware: mineral water jug,27
goat,7
oyster,6
porcelain: transitional,93
"redware, slip: northern Netherlands",2
industrial ware,9
corduroy,23
globular pot greyware,24
hearth tile,8
dolerite,1
basanite,1
industrial ware: black,66
maiolica: Italian,8
maiolica: biscuit,24
whiteware: France,13
whiteware: Iberian,4
cinder,2
(black) alder,11
"faience: Holland, biscuit",153
jute,13
"redware, slip: Coppengrave",1
vein quartz,2
redware: Asian,13
crocodile,1
tagua palm nut,1
chimney pot,5
jasper,1
glass: soda-lime glass,2
fly honeysuckle,1
porphyry,1
lime tree,1
"prehistoric, Late Neolithic",7
"prehistoric, Single Grave culture",1